Country,year,Public health,Soil,Discarded vechiles
European Union - 27 countries (from 2020),2016,1600000.0,431790000.0,5180000.0
European Union - 28 countries (2013-2020),2016,2020000.0,494050000.0,6340000.0
Belgium,2016,116743.0,3021174.0,368342.0
Bulgaria,2016,5091.0,162673.0,515.0
Czechia,2016,34525.0,7939112.0,4133.0
Denmark,2016,4799.0,7750229.0,15415.0
Germany,2016,362598.0,123131444.0,441063.0
Estonia,2016,2665.0,757417.0,12709.0
Ireland,2016,45882.0,2771311.0,18014.0
Greece,2016,13088.0,375503.0,70477.0
Spain,2016,197707.0,23412949.0,642514.0
France,2016,443039.0,154620543.0,1371077.0
Croatia,2016,4074.0,585350.0,19237.0
Italy,2016,140090.0,14176272.0,1308488.0
Cyprus,2016,1131.0,538195.0,10940.0
Latvia,2016,2856.0,15701.0,8253.0
Lithuania,2016,1716.0,78265.0,25281.0
Luxembourg,2016,891.0,7837032.0,3606.0
Hungary,2016,19883.0,1804764.0,10911.0
Malta,2016,405.0,16179.0,13945.0
Netherlands,2016,22986.0,7278867.0,218393.0
Austria,2016,40521.0,34289309.0,45499.0
Poland,2016,60645.0,16559347.0,2977.0
Portugal,2016,28318.0,766937.0,73503.0
Romania,2016,19225.0,285150.0,40153.0
Slovenia,2016,5551.0,1158742.0,6695.0
Slovakia,2016,21115.0,668354.0,34822.0
Finland,2016,2957.0,16378694.0,118477.0
Sweden,2016,5677.0,5414690.0,279252.0
Iceland,2016,348.0,75172.0,41.0
Liechtenstein,2016,3.5,441544.0,5.0
Norway,2016,1836.0,42613.0,216205.0
United Kingdom,2016,419793.0,62258665.0,1158511.0
Bosnia and Herzegovina,2016,1.0,42538.0,22.0
Montenegro,2016,678.0,130235.0,122.0
North Macedonia,2016,731.0,1186.0,264.0
Serbia,2016,4768.0,297481.0,1735.0
Türkiye,2016,81444.0,496429.0,352.0
European Union - 27 countries (from 2020),2018,1930000.0,468480000.0,6970000.0
European Union - 28 countries (2013-2020),2018,2320000.0,530610000.0,8230000.0
Belgium,2018,104323.0,2904679.0,384523.0
Bulgaria,2018,5506.0,74535.0,274.0
Czechia,2018,65842.0,13415730.0,3660.5
Denmark,2018,6217.0,6764309.0,7742.0
Germany,2018,390888.0,129542693.0,596745.0
Estonia,2018,1964.0,1599472.0,12709.0
Ireland,2018,38968.0,2123689.0,66852.0
Greece,2018,16249.0,1730862.0,70477.0
Spain,2018,125952.0,24729360.0,784194.0
France,2018,501885.0,165655741.0,1985805.0
Croatia,2018,5262.0,582492.0,30918.0
Italy,2018,146934.0,14012126.0,1423089.0
Cyprus,2018,1047.0,715245.0,9481.0
Latvia,2018,2139.0,4571.0,13683.0
Lithuania,2018,2003.0,44297.0,27532.0
Luxembourg,2018,1052.0,6977894.0,4258.0
Hungary,2018,21938.0,3808105.0,22307.0
Malta,2018,448.0,14579.5,13945.0
Netherlands,2018,22724.0,7720984.0,258644.0
Austria,2018,46973.0,37440449.0,61149.0
Poland,2018,318346.0,12440140.0,2977.0
Portugal,2018,38010.0,338234.0,84490.0
Romania,2018,21490.0,618596.0,45766.0
Slovenia,2018,5512.0,3022189.0,11329.0
Slovakia,2018,24372.0,1542577.0,38036.0
Finland,2018,3130.0,21789333.0,71108.0
Sweden,2018,5858.0,8885143.0,319247.0
Iceland,2018,326.0,120176.0,41.0
Liechtenstein,2018,3.5,387787.0,5.0
Norway,2018,297.0,2702226.0,230783.0
United Kingdom,2018,396471.0,62009410.0,1259104.0
Bosnia and Herzegovina,2018,1.0,26861.0,64.0
